bh_id,category,log10_mbh_final,row_fraction,left_fraction,right_fraction,coordinate,window_width,abs_left_row_difference,abs_right_row_difference,abs_left_right_difference
100179111943,sag,5.979547475049172,0.07334963325183375,0.07516399056890308,0.07520556448319383,phi_bh,0.2,0.0018143573170693317,0.001855931231360089,4.15739142907573e-05
100403095805,sag,6.577218252802652,0.2583103959347872,0.27718076346331805,0.24243531399928547,phi_bh,0.2,0.01887036752853083,0.015875081935501745,0.034745449464032574
100436478249,sag,6.6564834288465535,0.05934833204034135,0.04659836537354708,0.04662224098162881,phi_bh,0.2,0.012749966666794274,0.012726091058712544,2.3875608081730393e-05
100706181201,sag,7.0111685055838855,0.19579288025889968,0.15969355679044706,0.15964433212264098,phi_bh,0.2,0.036099323468452627,0.0361485481362587,4.922466780607482e-05
100844079187,ctrl,7.943140198427974,0.06809001731102135,0.05621180750628194,0.056200603818884726,phi_bh,0.2,0.011878209804739408,0.011889413492136625,1.1203687397216833e-05
100853734448,sag,6.052720870365837,0.023414634146341463,0.023197686639139924,0.023217226130678715,phi_bh,0.2,0.00021694750720153977,0.0001974080156627485,1.953949153879128e-05
100980924244,ctrl,7.758802935153294,0.3582270795385549,0.401454888846952,0.38440369776356825,phi_bh,0.2,0.04322780930839709,0.026176618225013326,0.017051191083383765
101120096044,ctrl,7.774774535422343,0.06711945665201757,0.0651837957032649,0.06511718752576326,phi_bh,0.2,0.0019356609487526794,0.0020022691262543135,6.660817750163417e-05
101758117427,ctrl,7.681832558610242,0.1680867544539117,0.19181685612959756,0.16939790328330392,phi_bh,0.2,0.023730101675685872,0.0013111488293922335,0.02241895284629364
101885781759,sag,6.178101713605841,0.08998474834773768,0.1665971105333917,0.06964651374743684,phi_bh,0.2,0.07661236218565404,0.020338234600300834,0.09695059678595487
101975633378,ctrl,7.957175654235326,0.2067471371092541,0.18965868946684286,0.2055210761651871,phi_bh,0.2,0.017088447642411242,0.0012260609440669923,0.01586238669834425
101997934588,sag,6.479511958008818,0.07917343858834455,0.06948280149448827,0.06987751112561835,phi_bh,0.2,0.009690637093856286,0.0092959274627262,0.0003947096311300857
102022446366,sag,6.072716665473636,0.17958067456700091,0.14331365678849273,0.26104074720362497,phi_bh,0.2,0.03626701777850819,0.08146007263662405,0.11772709041513224
102199873248,sag,6.044649486472825,0.0,0.0,0.0,phi_bh,0.2,0.0,0.0,0.0
102290215509,ctrl,7.816033060248498,0.041897720271102896,0.04119813775568363,0.041148618775943724,phi_bh,0.2,0.000699582515419267,0.0007491014951591726,4.9518979739905655e-05
102339335842,sag,5.910724166848867,0.0,0.0,0.0,phi_bh,0.2,0.0,0.0,0.0
102365021776,sag,5.9031594489479815,0.0,0.0,0.0,phi_bh,0.2,0.0,0.0,0.0
102586772904,sag,6.920637170824949,0.08264462809917356,0.09090190240302869,0.1067647155886013,phi_bh,0.2,0.00825727430385513,0.024120087489427747,0.015862813185572616
102588485308,ctrl,7.56896986212515,0.16032295271049596,0.14511265640703,0.14592801134995045,phi_bh,0.2,0.015210296303465959,0.014394941360545505,0.0008153549429204543
102624123212,sag,5.930803913008291,0.06096528365791702,0.05836149678900795,0.058331360097583475,phi_bh,0.2,0.0026037868689090735,0.0026339235603335467,3.0136691424473283e-05
102761690605,ctrl,8.08285716350084,0.08697653014265992,0.07306999093585222,0.0729759919134201,phi_bh,0.2,0.013906539206807705,0.014000538229239828,9.399902243212299e-05
103012207167,sag,5.903093254413252,0.0,0.0,0.0,phi_bh,0.2,0.0,0.0,0.0
103150532881,sag,6.732326185927086,0.15332486234646336,0.13464947179676603,0.17654884216325772,phi_bh,0.2,0.01867539054969733,0.02322397981679436,0.04189937036649169
103305446134,sag,6.136771292815022,0.05961538461538462,0.0669434155910493,0.06685572867681741,phi_bh,0.2,0.00732803097566468,0.007240344061432792,8.768691423188812e-05
103375780494,ctrl,7.759849818118895,0.17529107373868047,0.19614904646403153,0.1925306405382095,phi_bh,0.2,0.02085797272535106,0.017239566799529038,0.0036184059258220214
103414619687,ctrl,8.16394812612847,0.025089605734767026,0.025737633841109817,0.025803276417934968,phi_bh,0.2,0.0006480281063427906,0.0007136706831679419,6.564257682515132e-05
103487190184,sag,6.0577421484816805,0.35507246376811596,0.3719469803803001,0.32469689923029593,phi_bh,0.2,0.016874516612184143,0.030375564537820032,0.047250081150004175
103697964900,sag,6.028465518085581,0.07878787878787878,0.08082230344755403,0.08386314168072002,phi_bh,0.2,0.002034424659675252,0.0050752628928412424,0.0030408382331659906
104238226934,ctrl,7.755362553814542,0.11314341210747815,0.11548451744323436,0.11232243864792539,phi_bh,0.2,0.0023411053357562106,0.0008209734595527596,0.00316207879530897
104340129250,sag,5.972406505800983,0.44870247435123717,0.4263849954116307,0.42782192261937946,phi_bh,0.2,0.02231747893960645,0.02088055173185771,0.0014369272077487394
104363831287,ctrl,7.60399803890644,0.1212378847134841,0.1295617990698313,0.13190900465971844,phi_bh,0.2,0.008323914356347217,0.010671119946234348,0.0023472055898871302
104380871131,sag,6.718386269417801,0.09710078232857801,0.07094055661706451,0.07116005658736298,phi_bh,0.2,0.026160225711513496,0.02594072574121503,0.00021949997029846458
104515532964,sag,6.1137930130663545,0.029769959404600813,0.0195093113445838,0.019509171982404688,phi_bh,0.2,0.010260648060017013,0.010260787422196126,1.3936217911278415e-07
104711717421,sag,6.546640110379613,0.11982968369829684,0.17118203337027596,0.10313994516766725,phi_bh,0.2,0.05135234967197912,0.01668973853062959,0.06804208820260871
104783659627,ctrl,8.087717539982226,0.3062280157252224,0.2884857353866357,0.3212567378722664,phi_bh,0.2,0.017742280338586713,0.015028722147043982,0.032771002485630696
104885772064,sag,6.859134681259432,0.08963982193443949,0.08799771084761329,0.08449586848771545,phi_bh,0.2,0.0016421110868262007,0.005143953446724039,0.0035018423598978388
104916597823,sag,7.125328325523902,0.07163489312536106,0.08003109568027891,0.06262111839542521,phi_bh,0.2,0.008396202554917853,0.00901377472993585,0.017409977284853703
104923452897,sag,6.033250804585161,0.04263565891472868,0.04448612109359464,0.043544191444615445,phi_bh,0.2,0.0018504621788659609,0.000908532529886763,0.0009419296489791978
105105581678,ctrl,7.86926399413649,0.10873498930745189,0.11349409220586373,0.1084322927763151,phi_bh,0.2,0.004759102898411846,0.0003026965311367924,0.0050617994295486385
105209804502,ctrl,7.539985146416788,0.16672431684538222,0.17373363507709988,0.1628914806717253,phi_bh,0.2,0.0070093182317176594,0.0038328361736569283,0.010842154405374588
