coordinate,window_width,residence_mode,metric,obs_slope,n_bins,n_perm,exceedances_negative,p_one_sided_negative,confirmatory_status,time_order_information
H_hat,0.2,row,variance,-0.00011245145898769621,6,2000,1976,0.9880059970014993,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,row,mad2,0.0008682635250544466,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,row,iqr2,-0.001201674622515862,6,2000,1985,0.992503748125937,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,left_endpoint,variance,-0.0004641821993609283,6,2000,1998,0.999000499750125,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,left_endpoint,mad2,0.0011011972789656541,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,left_endpoint,iqr2,0.0004594700124642707,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,right_endpoint,variance,-0.0014637674831127917,6,2000,1857,0.928535732133933,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,right_endpoint,mad2,-0.0003607618361144028,6,2000,1919,0.95952023988006,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,right_endpoint,iqr2,-0.0028019662588875524,6,2000,1926,0.9630184907546226,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.3,row,variance,-0.0029773364822191744,6,2000,1894,0.9470264867566217,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.3,row,mad2,0.0017706446156541351,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.3,row,iqr2,-0.005269860139574172,6,2000,1947,0.9735132433783108,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.3,left_endpoint,variance,-0.003700076274945853,6,2000,1946,0.9730134932533733,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.3,left_endpoint,mad2,0.0014819033095070815,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.3,left_endpoint,iqr2,-0.004159193408677689,6,2000,1992,0.9960019990004998,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.3,right_endpoint,variance,-0.004830785217429804,6,2000,1809,0.9045477261369316,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.3,right_endpoint,mad2,0.0007198085810973805,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.3,right_endpoint,iqr2,-0.016634731762157337,6,2000,1639,0.8195902048975512,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.4,row,variance,-0.009106565815745812,6,2000,1591,0.7956021989005497,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.4,row,mad2,-0.0002529024965517071,6,2000,1977,0.9885057471264368,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.4,row,iqr2,-0.02302254304412724,6,2000,1579,0.7896051974012993,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.4,left_endpoint,variance,-0.010104888790924374,6,2000,1683,0.8415792103948025,posthoc_sensitivity_only,none_occupancy_is_order_invariant
