bh_id,n_time,dt_median,dt_cv,irregular
122593896062,30,0.0001479983329771839,0.002886613908045798,False
121016242958,1171,0.0001350045204163708,0.9934579318458245,True
115052826871,622,0.0001450181007385254,2.4622198121909564,True
109196344950,4849,0.0001240372657775879,3.2374898548112685,True
112638842213,4409,0.0001285076141357422,2.9464944228581427,True
113737554444,4109,0.0001310110092163086,3.0047147594468644,True
119675572281,2298,0.0001240372657775879,1.0401705035460744,True
106312130896,579,0.00010000169277188387,0.11949708627114933,True
119998357320,1944,0.00012701749801635742,1.0798250121016653,True
110205409004,4941,0.00012302398681640625,3.2313610723687076,True
106379457945,3426,0.00012999773025512695,0.9853941338932386,True
121480994850,980,0.00013703107833862305,1.0470434894892622,True
114035101968,4117,0.0001310110092163086,2.2638984399232056,True
113640315612,3903,0.00013297796249389648,3.043517299325104,True
105607367258,1828,9.998679161071777e-05,5.503889308948961,True
122227579967,227,0.00014597177505482062,0.09133225705414592,True
119574832816,2547,0.0001240372657775879,1.1795586079724323,True
112474445581,2026,0.00014099478721618652,3.799917260468597,True
104340129250,3314,0.0001289844512939453,1.0110724961398476,True
119474294265,2538,0.0001240372657775879,1.1864620782537405,True
108967686499,5395,0.00011998414993291684,3.2236814594195247,True
111630515811,4696,0.00012600421905517578,2.9049439428528436,True
112585716325,4409,0.0001285076141357422,2.9512812741080703,True
111739520203,4310,0.0001290440559387207,2.961196277026441,True
102199873248,428,9.100139141079988e-05,0.2609044715648926,True
111735597425,4673,0.00012600421905517578,2.9062388434918622,True
109495762545,3039,0.00011500716209411621,3.8466398034413114,True
115270194438,3764,0.0001329779624940075,1.362618979148015,True
113645976722,2479,0.00013297796249389648,3.577573073408676,True
107039455292,1058,8.100271224970035e-05,1.4548453085750954,True
114832461741,2407,0.0001340210437774103,1.6279669009077529,True
110568268632,4767,0.00012499094009399414,3.2430105336084236,True
110323813204,2298,0.00012302398681640625,4.180134965204559,True
117998915908,2802,0.00012499094009399414,1.1235298311670951,True
110721309313,4851,0.0001240372657775879,3.236498087242599,True
120103997246,2295,0.0001240372657775879,1.1042106897905568,True
102624123212,1181,0.00013500452041625977,0.9773354665269336,True
100179111943,818,7.700920104980469e-05,1.3687261040276795,True
108106822389,5623,0.00011998414993286133,3.2070787116542157,True
100706181201,1854,9.80198383331854e-05,5.590349368769981,True
111126699684,4695,0.00012600421905517578,2.9091732510863664,True
100853734448,1025,8.001923561101743e-05,2.9209002933073296,True
109546353024,5128,0.00012201070785522461,3.22452064013253,True
120069279927,2307,0.0001240372657775879,1.0943009342049284,True
104916597823,5193,0.0001220107078551691,3.2260710994562496,True
103697964900,330,8.800625801089201e-05,0.2739213583850657,True
119497530603,363,0.00010603666305541992,1.0911257342437943,True
107852801567,5780,0.00012004375457763672,3.1735260056119134,True
122011069146,598,0.00014197826385486945,1.0390540925219693,True
103012207167,51,0.00012004375457763672,0.00423575376284196,False
104711717421,1644,9.700655937200375e-05,5.900397201551014,True
114489576778,3918,0.00013297796249389648,2.3662965501967363,True
111077967557,4722,0.0001259446144104004,3.1806470789896224,True
114958366118,3874,0.00013297796249389648,1.4795445927751691,True
111632923649,4405,0.0001289844512939453,2.9100822851749273,True
122541153979,30,0.0001479983329771839,0.002886613908045798,False
107081548153,1250,8.299946784973145e-05,1.3113746807113034,True
118295411043,1934,0.00012701749801635742,1.0949924099813453,True
106361479493,657,0.00011199712753290347,0.13994413420226998,True
