selected_tau_track_fraction,selected_memory_column,baseline_test_rmse,augmented_test_rmse,fractional_test_improvement,permutation
0.02,memory_tau_0.02,0.2787917521096492,0.27705584904479313,0.0062265223117982165,0
0.02,memory_tau_0.02,0.2787917521096492,0.2770494902368495,0.006249330762534376,1
0.02,memory_tau_0.02,0.2787917521096492,0.27701946685307866,0.006357021838556705,2
0.02,memory_tau_0.02,0.2787917521096492,0.27703252639175163,0.00631017849195784,3
0.02,memory_tau_0.02,0.2787917521096492,0.27695066270789576,0.006603815887025679,4
0.05,memory_tau_0.05,0.2787917521096492,0.2772477279753032,0.005538270492803851,5
0.02,memory_tau_0.02,0.2787917521096492,0.27704226104598884,0.006275261195576078,6
0.02,memory_tau_0.02,0.2787917521096492,0.27695677372830363,0.006581896227058589,7
0.02,memory_tau_0.02,0.2787917521096492,0.2769532075192317,0.00659468788622695,8
0.02,memory_tau_0.02,0.2787917521096492,0.27712874269672827,0.005965059584211978,9
0.02,memory_tau_0.02,0.2787917521096492,0.27701729738171627,0.006364803529894319,10
0.02,memory_tau_0.02,0.2787917521096492,0.27699198168609146,0.006455608567824025,11
0.02,memory_tau_0.02,0.2787917521096492,0.2770411052504948,0.006279406926162755,12
0.02,memory_tau_0.02,0.2787917521096492,0.27706158048868534,0.006205964157373492,13
0.02,memory_tau_0.02,0.2787917521096492,0.27700139152863673,0.006421856340672158,14
0.02,memory_tau_0.02,0.2787917521096492,0.2770355744405766,0.00629924542524448,15
0.02,memory_tau_0.02,0.2787917521096492,0.27697553046373347,0.0065146175673138065,16
0.02,memory_tau_0.02,0.2787917521096492,0.2769982978976607,0.006432952906308153,17
0.02,memory_tau_0.02,0.2787917521096492,0.2770662054723893,0.006189374772397206,18
0.02,memory_tau_0.02,0.2787917521096492,0.2770456884570614,0.006262967391879844,19
0.02,memory_tau_0.02,0.2787917521096492,0.27703251544930674,0.006310217741486608,20
0.02,memory_tau_0.02,0.2787917521096492,0.27705574902190766,0.006226881084555005,21
0.02,memory_tau_0.02,0.2787917521096492,0.27698727982944,0.006472473688889796,22
0.02,memory_tau_0.02,0.2787917521096492,0.2769949019908291,0.0064451337072316895,23
0.02,memory_tau_0.02,0.2787917521096492,0.2771214259730313,0.005991303989369606,24
0.02,memory_tau_0.02,0.2787917521096492,0.27701185255166366,0.006384333627221093,25
0.02,memory_tau_0.02,0.2787917521096492,0.27700767348387295,0.00639932355342618,26
0.02,memory_tau_0.02,0.2787917521096492,0.27707402759052574,0.006161317564544948,27
0.02,memory_tau_0.02,0.2787917521096492,0.2770215710188574,0.006349474392253848,28
0.02,memory_tau_0.02,0.2787917521096492,0.2771082275274161,0.006038645582208452,29
0.02,memory_tau_0.02,0.2787917521096492,0.27700353578339826,0.00641416509892881,30
0.02,memory_tau_0.02,0.2787917521096492,0.277024629732087,0.00633850307331598,31
0.02,memory_tau_0.02,0.2787917521096492,0.2770619005735614,0.006204816042791096,32
0.02,memory_tau_0.02,0.2787917521096492,0.2769738060258334,0.00652080296514942,33
0.02,memory_tau_0.02,0.2787917521096492,0.27701056983369904,0.006388934616866292,34
0.05,memory_tau_0.05,0.2787917521096492,0.2772418677074359,0.005559290726806338,35
0.02,memory_tau_0.02,0.2787917521096492,0.27709238690397736,0.006095464420351498,36
0.02,memory_tau_0.02,0.2787917521096492,0.27706330222570713,0.006199788447336311,37
0.02,memory_tau_0.02,0.2787917521096492,0.2769896221989755,0.006464071827938829,38
0.02,memory_tau_0.02,0.2787917521096492,0.2770327937498843,0.006309219503283802,39
0.02,memory_tau_0.02,0.2787917521096492,0.2770566775309775,0.006223550609163151,40
0.02,memory_tau_0.02,0.2787917521096492,0.27701674355050193,0.006366790070780636,41
0.02,memory_tau_0.02,0.2787917521096492,0.2770016939023971,0.006420771754209053,42
0.02,memory_tau_0.02,0.2787917521096492,0.27707347585420944,0.006163296591227501,43
0.02,memory_tau_0.02,0.2787917521096492,0.2770012648902631,0.006422310580701365,44
0.02,memory_tau_0.02,0.2787917521096492,0.27697217271309094,0.006526661505547708,45
0.02,memory_tau_0.02,0.2787917521096492,0.27706891796491,0.006179645314835492,46
0.02,memory_tau_0.02,0.2787917521096492,0.27706186318386417,0.006204950156146116,47
0.02,memory_tau_0.02,0.2787917521096492,0.27700045832458253,0.006425203656534759,48
0.02,memory_tau_0.02,0.2787917521096492,0.27701642753390954,0.0063679235928091864,49
0.02,memory_tau_0.02,0.2787917521096492,0.27707762060871866,0.006148429743561268,50
0.02,memory_tau_0.02,0.2787917521096492,0.27700063280149534,0.006424577824129437,51
0.02,memory_tau_0.02,0.2787917521096492,0.27700360237021043,0.006413926258246935,52
0.02,memory_tau_0.02,0.2787917521096492,0.2770700976334006,0.006175413954037738,53
0.02,memory_tau_0.02,0.2787917521096492,0.27698501965812383,0.006480580712498123,54
0.02,memory_tau_0.02,0.2787917521096492,0.27708059618784653,0.006137756618888976,55
0.05,memory_tau_0.05,0.2787917521096492,0.2772103811404677,0.005672230104424066,56
0.02,memory_tau_0.02,0.2787917521096492,0.2770886597993039,0.006108833197028864,57
0.02,memory_tau_0.02,0.2787917521096492,0.27698731951712824,0.006472331332855421,58
0.05,memory_tau_0.05,0.2787917521096492,0.27723680750488816,0.00557744120116387,59
0.02,memory_tau_0.02,0.2787917521096492,0.27700436109174775,0.0064112047948909415,60
0.02,memory_tau_0.02,0.2787917521096492,0.27695211865618685,0.006598593536364017,61
0.02,memory_tau_0.02,0.2787917521096492,0.27694579415943743,0.006621278916048183,62
0.02,memory_tau_0.02,0.2787917521096492,0.2770342439522246,0.006304017762811583,63
0.02,memory_tau_0.02,0.2787917521096492,0.2770369836213996,0.006294190825126766,64
0.02,memory_tau_0.02,0.2787917521096492,0.2769968464634646,0.006438159065332122,65
0.02,memory_tau_0.02,0.2787917521096492,0.2770922217687915,0.00609605674485396,66
0.02,memory_tau_0.02,0.2787917521096492,0.27702219102354453,0.00634725049329538,67
0.02,memory_tau_0.02,0.2787917521096492,0.2770917703402963,0.0060976759767422065,68
0.02,memory_tau_0.02,0.2787917521096492,0.2770181729750008,0.006361662858486653,69
0.02,memory_tau_0.02,0.2787917521096492,0.2770122598478315,0.006382872693872936,70
0.02,memory_tau_0.02,0.2787917521096492,0.27698443071777096,0.0064826931865882564,71
0.02,memory_tau_0.02,0.2787917521096492,0.27698594066504195,0.0064772771466244895,72
0.02,memory_tau_0.02,0.2787917521096492,0.277089374475341,0.006106269720772251,73
0.02,memory_tau_0.02,0.2787917521096492,0.2770979105157961,0.0060756517401810255,74
0.02,memory_tau_0.02,0.2787917521096492,0.2769559734688658,0.0065847666829876896,75
0.02,memory_tau_0.02,0.2787917521096492,0.27695076691450915,0.006603442107627239,76
0.02,memory_tau_0.02,0.2787917521096492,0.2770975702243293,0.006076872333918851,77
0.02,memory_tau_0.02,0.2787917521096492,0.2770214742631805,0.006349821445838208,78
0.02,memory_tau_0.02,0.2787917521096492,0.2770324063691569,0.00631060900180558,79
0.02,memory_tau_0.02,0.2787917521096492,0.2770379325180282,0.006290787221464086,80
0.02,memory_tau_0.02,0.2787917521096492,0.27699731351298623,0.006436483802279758,81
0.02,memory_tau_0.02,0.2787917521096492,0.2770016246205931,0.006421020261575185,82
0.02,memory_tau_0.02,0.2787917521096492,0.2770045835875535,0.006410406723197499,83
0.02,memory_tau_0.02,0.2787917521096492,0.27702440690353775,0.0063393023385295046,84
0.02,memory_tau_0.02,0.2787917521096492,0.2770138420980824,0.0063771973098671235,85
