label,rows_used,n_bins_used,obs_slope,intercept,note
full_clean,6699,4,2.18412527273828,-15.539018598599625,
no_top_bin,5969,3,2.712236911093094,-20.864144285344008,
no_bottom_bin,4775,3,2.4502286752278466,-18.44398074244405,
middle_only,4045,2,4.5667703952714085,-40.491290326231166,
