bh_id,category,final_mass_class,ripeness_rank_global,phi_minus_group_median,settle_raw,settlement_hat,settlement_hat_rank_low,context_n
112270650724,sag,5.5_7.5,399,-28.426891889724846,-28.42689188972485,-46.36162912433506,2,200
112236586657,sag,5.5_7.5,400,-31.992969751935835,-31.992969751935835,-52.37418909923691,1,200
