label,rows_used,n_bins_used,obs_slope,intercept,note
full_clean,6701,4,1.1274231092067977,-4.753920352962869,
no_top_bin,5970,3,-0.036633319049118124,6.98364863195095,
no_bottom_bin,4777,3,2.686014648284653,-21.76854465456278,
middle_only,4046,2,2.311028441672612,-17.86243833568737,
