category,final_mass_class,n_bh,ripeness_score_median,ripeness_bh_median,contrib_ripeness_bh_median,contrib_commitment_mass_median,contrib_quiet_median,contrib_settlement_median,contrib_persistence_median,track_median_lambda_median,track_median_phi_median
ctrl,7.5_8.5,200,-0.10712678796482811,0.27528007727672904,0.0,4.198030811863873e-16,2.2551405187698492e-17,0.0,-1.4999937056336954e-16,-0.4781508524006237,0.7478205104069071
sag,5.5_7.5,200,0.4093554916795932,0.2638039914553182,0.0,4.1996571151226014e-16,0.0,0.0,-1.1514227071796057e-16,-0.7884321908975073,0.19787501087661963
