variant,top_n,overlap_with_full_top_n,overlap_fraction,spearman_vs_full,pearson_vs_full
full,25,25,1.0,0.9999999999999999,0.9999999999999998
drop_ripeness_bh,25,11,0.44,0.800214876342977,0.8985050115535496
drop_commitment_mass,25,12,0.48,0.8975544222151387,0.942580768406953
drop_quiet,25,20,0.8,0.977326233288958,0.9364726302129919
drop_settlement,25,11,0.44,0.6390281814261338,0.39745930051323763
drop_persistence,25,17,0.68,0.9864862280389252,0.9832662716162429
