selected_tau_track_fraction,selected_memory_column,baseline_test_rmse,augmented_test_rmse,fractional_test_improvement,permutation
0.02,memory_tau_0.02,0.2805645257059997,0.2782746694135567,0.008161603063255784,0
0.02,memory_tau_0.02,0.2805645257059997,0.2782629171150318,0.008203491104858086,1
0.02,memory_tau_0.02,0.2805645257059997,0.2782239414072421,0.008342409978124889,2
0.02,memory_tau_0.02,0.2805645257059997,0.2782379512449655,0.008292475519418398,3
0.02,memory_tau_0.02,0.2805645257059997,0.2781455237711341,0.008621909447669978,4
0.02,memory_tau_0.02,0.2805645257059997,0.27828813724703017,0.008113600439119477,5
0.02,memory_tau_0.02,0.2805645257059997,0.2782594066853135,0.008216003127571817,6
0.02,memory_tau_0.02,0.2805645257059997,0.2781528548981724,0.008595779533277486,7
0.02,memory_tau_0.02,0.2805645257059997,0.27814895530593453,0.008609678625573745,8
0.02,memory_tau_0.02,0.2805645257059997,0.278362102029565,0.007849972019422688,9
0.02,memory_tau_0.02,0.2805645257059997,0.2782235364850173,0.008343853219118335,10
0.02,memory_tau_0.02,0.2805645257059997,0.2782028534918748,0.008417572421823885,11
0.02,memory_tau_0.02,0.2805645257059997,0.2782466844748893,0.008261348170364327,12
0.02,memory_tau_0.02,0.2805645257059997,0.2782765295489451,0.008154973089691925,13
0.02,memory_tau_0.02,0.2805645257059997,0.2782071047160425,0.008402420028067056,14
0.02,memory_tau_0.02,0.2805645257059997,0.2782392619206278,0.008287803953549413,15
0.02,memory_tau_0.02,0.2805645257059997,0.27817547753850147,0.008515146957679525,16
0.02,memory_tau_0.02,0.2805645257059997,0.2782018834663683,0.008421029827937625,17
0.02,memory_tau_0.02,0.2805645257059997,0.278284931635628,0.008125026015443109,18
0.02,memory_tau_0.02,0.2805645257059997,0.2782606458963431,0.008211586278982528,19
0.02,memory_tau_0.02,0.2805645257059997,0.2782488701765072,0.008253557799816364,20
0.02,memory_tau_0.02,0.2805645257059997,0.27826837130728305,0.008184051041159704,21
0.02,memory_tau_0.02,0.2805645257059997,0.27818840852305704,0.008469057793259927,22
0.02,memory_tau_0.02,0.2805645257059997,0.2782055742877183,0.008407874845707776,23
0.02,memory_tau_0.02,0.2805645257059997,0.2783498537557964,0.007893627837056048,24
0.02,memory_tau_0.02,0.2805645257059997,0.278217039625424,0.008367009602046503,25
0.02,memory_tau_0.02,0.2805645257059997,0.27821435101506636,0.008376592461286674,26
0.02,memory_tau_0.02,0.2805645257059997,0.2782922512104554,0.008098937275931244,27
0.02,memory_tau_0.02,0.2805645257059997,0.2782291691961716,0.008323776870762798,28
0.02,memory_tau_0.02,0.2805645257059997,0.27833725737189285,0.00793852440361896,29
0.02,memory_tau_0.02,0.2805645257059997,0.27820119726385045,0.00842347562009947,30
0.02,memory_tau_0.02,0.2805645257059997,0.27823589780498004,0.008299794477438026,31
0.02,memory_tau_0.02,0.2805645257059997,0.2782822446530245,0.008134603072972982,32
0.02,memory_tau_0.02,0.2805645257059997,0.27817656548756226,0.008511269243424498,33
0.02,memory_tau_0.02,0.2805645257059997,0.2782119291133821,0.0083852247061443,34
0.05,memory_tau_0.05,0.2805645257059997,0.27849323340063714,0.0073825880166085356,35
0.02,memory_tau_0.02,0.2805645257059997,0.2783116132943415,0.008029926114105402,36
0.02,memory_tau_0.02,0.2805645257059997,0.27827752868485706,0.008151411927034473,37
0.02,memory_tau_0.02,0.2805645257059997,0.2781870721910235,0.008473820804656923,38
0.02,memory_tau_0.02,0.2805645257059997,0.2782458673356346,0.008264260652805394,39
0.02,memory_tau_0.02,0.2805645257059997,0.278278136044646,0.008149247149475963,40
0.02,memory_tau_0.02,0.2805645257059997,0.27821775614784966,0.008364455742381361,41
0.02,memory_tau_0.02,0.2805645257059997,0.27820502481236925,0.00840983330908682,42
0.02,memory_tau_0.02,0.2805645257059997,0.2782974201430999,0.00808051394664022,43
0.02,memory_tau_0.02,0.2805645257059997,0.2781986274614157,0.008432635019094303,44
0.02,memory_tau_0.02,0.2805645257059997,0.27817334785170217,0.00852273767783184,45
0.02,memory_tau_0.02,0.2805645257059997,0.27829309688575526,0.008095923084105977,46
