tau_track_fraction,memory_column,baseline_validation_rmse,augmented_validation_rmse
0.005,memory_tau_0.005,0.28067662097366664,0.26812721360002556
0.01,memory_tau_0.01,0.28067662097366664,0.2698559949568847
0.02,memory_tau_0.02,0.28067662097366664,0.27246987012564433
0.05,memory_tau_0.05,0.28067662097366664,0.27567179952357557
0.1,memory_tau_0.1,0.28067662097366664,0.27723493273110433
0.2,memory_tau_0.2,0.28067662097366664,0.2782458448282129
