selected_tau_track_fraction,selected_memory_column,baseline_test_rmse,augmented_test_rmse,fractional_test_improvement,permutation
0.02,memory_tau_0.02,0.3061127024063909,0.29799410416352856,0.02652159867604639,0
0.02,memory_tau_0.02,0.3061127024063909,0.29798029751289223,0.02656670183748919,1
0.02,memory_tau_0.02,0.3061127024063909,0.29792678030482267,0.02674153028351204,2
0.02,memory_tau_0.02,0.3061127024063909,0.2982694604185393,0.025622072936519316,3
0.02,memory_tau_0.02,0.3061127024063909,0.2978446994298521,0.027009669678987405,4
0.02,memory_tau_0.02,0.3061127024063909,0.2977144878933516,0.027435040908201,5
0.02,memory_tau_0.02,0.3061127024063909,0.29798920451030136,0.02653760471953521,6
0.02,memory_tau_0.02,0.3061127024063909,0.29820993294544584,0.025816535540081675,7
0.02,memory_tau_0.02,0.3061127024063909,0.29770166675634896,0.0274769246226037,8
0.02,memory_tau_0.02,0.3061127024063909,0.2979104346711177,0.026794927720392166,9
0.02,memory_tau_0.02,0.3061127024063909,0.29812405078257675,0.02609709287139775,10
0.02,memory_tau_0.02,0.3061127024063909,0.2979854636596335,0.026549825220803,11
0.02,memory_tau_0.02,0.3061127024063909,0.2981881558762488,0.025887676231159982,12
0.02,memory_tau_0.02,0.3061127024063909,0.2980659339379279,0.026286947275321482,13
0.02,memory_tau_0.02,0.3061127024063909,0.29806003280627824,0.026306224919154218,14
0.02,memory_tau_0.02,0.3061127024063909,0.2981341557481474,0.0260640822661821,15
0.02,memory_tau_0.02,0.3061127024063909,0.29799183109176286,0.026529024280236718,16
0.02,memory_tau_0.02,0.3061127024063909,0.297823402424519,0.02707924211151203,17
0.02,memory_tau_0.02,0.3061127024063909,0.2981298431020612,0.02607817069195564,18
0.02,memory_tau_0.02,0.3061127024063909,0.2978720295809635,0.026920388342745728,19
0.02,memory_tau_0.02,0.3061127024063909,0.2979261434218933,0.026743610833990305,20
0.02,memory_tau_0.02,0.3061127024063909,0.2979492158881592,0.02666823837775261,21
0.02,memory_tau_0.02,0.3061127024063909,0.29797475733879913,0.026584800315760583,22
0.02,memory_tau_0.02,0.3061127024063909,0.29805437065874013,0.026324721856699113,23
0.02,memory_tau_0.02,0.3061127024063909,0.29796745062575913,0.02660866967166304,24
0.02,memory_tau_0.02,0.3061127024063909,0.2979244038827983,0.026749293509296872,25
0.02,memory_tau_0.02,0.3061127024063909,0.29780285075056473,0.027146379717343808,26
0.02,memory_tau_0.02,0.3061127024063909,0.298035959041981,0.026384868386439313,27
0.02,memory_tau_0.02,0.3061127024063909,0.29796892341094405,0.0266038584202078,28
0.02,memory_tau_0.02,0.3061127024063909,0.2982982356681393,0.02552807079491009,29
0.02,memory_tau_0.02,0.3061127024063909,0.297902514763088,0.026820800243706196,30
0.02,memory_tau_0.02,0.3061127024063909,0.2980482790871461,0.026344621624157794,31
0.02,memory_tau_0.02,0.3061127024063909,0.29801014481108573,0.026469197558970644,32
0.02,memory_tau_0.02,0.3061127024063909,0.298076092452711,0.026253761737108826,33
0.02,memory_tau_0.02,0.3061127024063909,0.29771305006246807,0.027439737971969407,34
0.02,memory_tau_0.02,0.3061127024063909,0.29792820420058835,0.026736878742577963,35
0.02,memory_tau_0.02,0.3061127024063909,0.29798497653477396,0.026551416546010124,36
0.02,memory_tau_0.02,0.3061127024063909,0.2979626463064836,0.02662436428099402,37
0.02,memory_tau_0.02,0.3061127024063909,0.297944052163502,0.026685107082045523,38
0.02,memory_tau_0.02,0.3061127024063909,0.29820145227242795,0.025844239954015594,39
0.02,memory_tau_0.02,0.3061127024063909,0.2982173512683873,0.02579230158022599,40
0.02,memory_tau_0.02,0.3061127024063909,0.2980919444142262,0.02620197701406206,41
0.02,memory_tau_0.02,0.3061127024063909,0.2982457704474963,0.025699462639255554,42
0.02,memory_tau_0.02,0.3061127024063909,0.2979273777125936,0.02673957868932394,43
0.02,memory_tau_0.02,0.3061127024063909,0.29812601607245515,0.02609067272005172,44
