bh_id,n_rows,nonfinite_time,file_order_negative_dt,file_order_zero_dt,sorted_duplicate_dt,nonfinite_phi_or_bounds,invalid_window_bounds,unparseable_membership,membership_mismatches,t_min,t_max,t_span,median_dt,within_track_dt_cv,right_residence_file_order,right_residence_sorted,short_span_exposure,sparse_track_exposure,residence_order_difference
122593896062,30,0,0,0,0,0,0,0,0,0.9957150220870972,1.0,0.004284977912902832,0.0001479983329771839,0.002886613908045798,1.0,1.0,True,True,0.0
121016242958,1171,0,0,0,0,0,0,0,0,0.8338639736175537,1.0,0.1661360263824463,0.0001350045204163708,0.9934579318458245,0.3621310946076889,0.3621310946076889,False,False,0.0
115052826871,622,0,0,0,0,0,0,0,0,0.4407469928264618,0.5475500226020813,0.1068030297756195,0.0001450181007385254,2.4622198121909564,0.7103921489292541,0.7103921489292541,False,False,0.0
109196344950,4849,0,0,0,0,0,0,0,0,0.2895680069923401,1.0,0.7104319930076599,0.0001240372657775879,3.2374898548112685,0.4419846144049306,0.4419846144049306,False,False,0.0
112638842213,4409,0,0,0,0,0,0,0,0,0.3539569973945617,1.0,0.6460430026054382,0.0001285076141357422,2.9464944228581427,0.5290896513203536,0.5290896513203536,False,False,0.0
113737554444,4109,0,0,0,0,0,0,0,0,0.3867290019989013,1.0,0.6132709980010986,0.0001310110092163086,3.0047147594468644,0.5463951237148873,0.5463951237148873,False,False,0.0
119675572281,2298,0,0,0,0,0,0,0,0,0.6984249949455261,1.0,0.3015750050544739,0.0001240372657775879,1.0401705035460744,0.0,0.0,False,False,0.0
106312130896,579,0,0,0,0,0,0,0,0,0.1416279971599578,0.1993429958820343,0.0577149987220765,0.00010000169277188387,0.11949708627114933,0.007970178571244622,0.007970178571244622,False,False,0.0
119998357320,1944,0,0,0,0,0,0,0,0,0.7409319877624512,1.0,0.25906801223754883,0.00012701749801635742,1.0798250121016653,0.0,0.0,False,False,0.0
110205409004,4941,0,0,0,0,0,0,0,0,0.2793760001659393,1.0,0.7206239998340607,0.00012302398681640625,3.2313610723687076,0.3540885575920653,0.3540885575920653,False,False,0.0
106379457945,3426,0,0,0,0,0,0,0,0,0.5196359753608704,1.0,0.48036402463912964,0.00012999773025512695,0.9853941338932386,0.4743779478062933,0.4743779478062933,False,False,0.0
121480994850,980,0,0,0,0,0,0,0,0,0.8589280247688293,1.0,0.14107197523117065,0.00013703107833862305,1.0470434894892622,0.7600379416045695,0.7600379416045695,False,False,0.0
114035101968,4117,0,0,0,0,0,0,0,0,0.3866719901561737,1.0,0.6133280098438263,0.0001310110092163086,2.2638984399232056,0.3589795719341893,0.3589795719341893,False,False,0.0
113640315612,3903,0,0,0,0,0,0,0,0,0.4103260040283203,1.0,0.5896739959716797,0.00013297796249389648,3.043517299325104,0.1297005545690093,0.1297005545690093,False,False,0.0
105607367258,1828,0,0,0,0,0,0,0,0,0.23403300344944,0.4755490124225616,0.2415160089731216,9.998679161071777e-05,5.503889308948961,0.08978739642759836,0.08978739642759836,False,False,0.0
122227579967,227,0,0,0,0,0,0,0,0,0.966803014278412,1.0,0.033196985721588024,0.00014597177505482062,0.09133225705414592,0.04419223884242597,0.04419223884242597,True,False,0.0
119574832816,2547,0,0,0,0,0,0,0,0,0.6582599878311157,1.0,0.3417400121688843,0.0001240372657775879,1.1795586079724323,0.5406530383298311,0.5406530383298311,False,False,0.0
112474445581,2026,0,0,0,0,0,0,0,0,0.3436290025711059,0.6701099872589111,0.32648098468780523,0.00014099478721618652,3.799917260468597,0.2871018077416422,0.2871018077416422,False,False,0.0
104340129250,3314,0,0,0,0,0,0,0,0,0.5353339910507202,1.0,0.4646660089492798,0.0001289844512939453,1.0110724961398476,0.5529655576167781,0.5529655576167781,False,False,0.0
119474294265,2538,0,0,0,0,0,0,0,0,0.6582599878311157,1.0,0.3417400121688843,0.0001240372657775879,1.1864620782537405,0.19215477044695317,0.19215477044695317,False,False,0.0
108967686499,5395,0,0,0,0,0,0,0,0,0.2410680055618286,1.0,0.7589319944381714,0.00011998414993291684,3.2236814594195247,0.17761490315615677,0.17761490315615677,False,False,0.0
111630515811,4696,0,0,0,0,0,0,0,0,0.3261770009994507,1.0,0.6738229990005493,0.00012600421905517578,2.9049439428528436,0.33031664041545317,0.33031664041545317,False,False,0.0
112585716325,4409,0,0,0,0,0,0,0,0,0.3539569973945617,1.0,0.6460430026054382,0.0001285076141357422,2.9512812741080703,0.3471285067179455,0.3471285067179455,False,False,0.0
111739520203,4310,0,0,0,0,0,0,0,0,0.3644889891147613,1.0,0.6355110108852386,0.0001290440559387207,2.961196277026441,0.3659456849306176,0.3659456849306176,False,False,0.0
102199873248,428,0,0,0,0,0,0,0,0,0.1222800016403198,0.1655129939317703,0.0432329922914505,9.100139141079988e-05,0.2609044715648926,0.003377087026339786,0.003377087026339786,True,False,0.0
111735597425,4673,0,0,0,0,0,0,0,0,0.3261289894580841,1.0,0.6738710105419159,0.00012600421905517578,2.9062388434918622,0.20001110946051487,0.20001110946051487,False,False,0.0
109495762545,3039,0,0,0,0,0,0,0,0,0.2793760001659393,0.7453470230102539,0.46597102284431463,0.00011500716209411621,3.8466398034413114,0.34753107900773583,0.34753107900773583,False,False,0.0
115270194438,3764,0,0,0,0,0,0,0,0,0.4628869891166687,1.0,0.5371130108833313,0.0001329779624940075,1.362618979148015,0.026588509643655247,0.026588509643655247,False,False,0.0
113645976722,2479,0,0,0,0,0,0,0,0,0.3754439949989319,0.7641350030899048,0.3886910080909729,0.00013297796249389648,3.577573073408676,0.3013677182547317,0.3013677182547317,False,False,0.0
107039455292,1058,0,0,0,0,0,0,0,0,0.1960500031709671,0.296994000673294,0.10094399750232691,8.100271224970035e-05,1.4548453085750954,0.07435774685768796,0.07435774685768796,False,False,0.0
114832461741,2407,0,0,0,0,0,0,0,0,0.4408130049705505,0.7968369722366333,0.3560239672660828,0.0001340210437774103,1.6279669009077529,0.5717389874020001,0.5717389874020001,False,False,0.0
110568268632,4767,0,0,0,0,0,0,0,0,0.2964229881763458,1.0,0.7035770118236542,0.00012499094009399414,3.2430105336084236,0.35874319889926015,0.35874319889926015,False,False,0.0
110323813204,2298,0,0,0,0,0,0,0,0,0.2895039916038513,0.6565319895744324,0.36702799797058105,0.00012302398681640625,4.180134965204559,0.18252838556164244,0.18252838556164244,False,False,0.0
117998915908,2802,0,0,0,0,0,0,0,0,0.6205869913101196,1.0,0.37941300868988037,0.00012499094009399414,1.1235298311670951,0.45782872468342745,0.45782872468342745,False,False,0.0
110721309313,4851,0,0,0,0,0,0,0,0,0.2895250022411346,1.0,0.7104749977588654,0.0001240372657775879,3.236498087242599,0.41479421726510884,0.41479421726510884,False,False,0.0
120103997246,2295,0,0,0,0,0,0,0,0,0.6984249949455261,1.0,0.3015750050544739,0.0001240372657775879,1.1042106897905568,0.27325164158590787,0.27325164158590787,False,False,0.0
102624123212,1181,0,0,0,0,0,0,0,0,0.8338639736175537,1.0,0.1661360263824463,0.00013500452041625977,0.9773354665269336,0.10742331288343358,0.10742331288343358,False,False,0.0
100179111943,818,0,0,0,0,0,0,0,0,0.214138001203537,0.2865400016307831,0.0724020004272461,7.700920104980469e-05,1.3687261040276795,0.11151646820953375,0.11151646820953375,False,False,0.0
108106822389,5623,0,0,0,0,0,0,0,0,0.2205740064382553,1.0,0.7794259935617447,0.00011998414993286133,3.2070787116542157,0.2984577238961971,0.2984577238961971,False,False,0.0
